Query_number,doc_number
1,237264
1,330437
1,296243
1,176918
1,103201
1,144326
1,225127
1,404408
1,447808
1,247327
2,487973
2,389103
2,253545
2,413834
2,428907
2,235170
2,284104
2,289317
2,230666
2,446730
3,163575
3,412243
3,446120
3,322194
3,47246
3,497937
3,56737
3,63153
3,456772
3,447994
4,215320
4,425159
4,83789
4,346146
4,252106
4,423161
4,114946
4,318932
4,122917
4,188739
5,400329
5,266494
5,206928
5,237579
5,171495
5,213425
5,300866
5,341416
5,173457
5,290453
6,294577
6,132733
6,275883
6,80228
6,85102
6,390654
6,51271
6,169103
6,248947
6,40519
7,453178
7,258740
7,444818
7,82172
7,229311
7,247139
7,134603
7,461656
7,200014
7,302479
8,236500
8,401711
8,297759
8,376945
8,95204
8,419509
8,323435
8,296175
8,334887
8,3036
9,95059
9,102770
9,382221
9,53352
9,315769
9,370662
9,256318
9,391891
9,216747
9,496531
10,297761
10,89072
10,283766
10,288183
10,466943
10,490691
10,485571
10,330801
10,452972
10,472683
11,305019
11,155218
11,275918
11,243317
11,279618
11,481573
11,386997
11,144327
11,281897
11,54260
12,3976
12,267626
12,393641
12,459238
12,451181
12,383404
12,359187
12,344738
12,51955
12,469912
13,148453
13,79603
13,481938
13,164486
13,163563
13,184607
13,143587
13,445236
13,179336
13,408074
14,423544
14,482219
14,426510
14,463695
14,212878
14,474792
14,98162
14,99851
14,4073
14,82447
15,53396
15,284662
15,184067
15,486918
15,442250
15,448280
15,92561
15,90609
15,172333
15,381470
16,228341
16,254776
16,378905
16,178340
16,196010
16,379902
16,326895
16,260621
16,488897
16,358528
17,254181
17,337104
17,87738
17,473427
17,479690
17,94406
17,274850
17,286389
17,361737
17,251783
18,179059
18,426872
18,96953
18,19726
18,13449
18,183857
18,350565
18,289586
18,223887
18,9287
19,342368
19,50831
19,5887
19,451744
19,252387
19,420615
19,328544
19,90519
19,259214
19,51054
20,347649
20,468119
20,442885
20,446893
20,362713
20,311161
20,306196
20,69346
20,441672
20,217913
21,389777
21,148679
21,229100
21,250951
21,185738
21,73600
21,339746
21,17922
21,282792
21,369123
22,203340
22,350825
22,273410
22,257063
22,389054
22,495767
22,361952
22,112781
22,408792
22,146492
23,332471
23,163112
23,39061
23,360132
23,58049
23,189469
23,69888
23,68502
23,103432
23,218462
24,96667
24,451396
24,167147
24,451729
24,345854
24,281834
24,389793
24,126084
24,15626
24,27099
25,482761
25,259798
25,264487
25,150286
25,435670
25,100578
25,173573
25,181510
25,85682
25,9226
26,88548
26,486604
26,94651
26,39234
26,33180
26,460912
26,489211
26,415316
26,434589
26,407807
27,88106
27,290689
27,141729
27,133067
27,35297
27,355134
27,140221
27,268658
27,299523
27,201742
28,292675
28,328501
28,67638
28,204911
28,157428
28,189580
28,484493
28,473982
28,199690
28,339020
29,215162
29,134929
29,108222
29,136718
29,49307
29,174789
29,51481
29,287998
29,234316
29,183536
30,44470
30,329742
30,171306
30,142838
30,290351
30,131235
30,403418
30,59007
30,190429
30,413971
31,323226
31,65801
31,182994
31,418970
31,287038
31,59466
31,326829
31,428638
31,161077
31,413968
32,307971
32,406360
32,218470
32,323197
32,444490
32,41366
32,381016
32,303720
32,302080
32,418093
33,199273
33,271531
33,372234
33,348784
33,344066
33,112355
33,180557
33,153148
33,378214
33,82120
34,202824
34,478956
34,20661
34,124399
34,278817
34,234628
34,172371
34,444074
34,118580
34,74998
35,122496
35,254580
35,453639
35,63958
35,247534
35,188230
35,16105
35,105254
35,215766
35,401421
36,394974
36,76393
36,472152
36,92058
36,202305
36,13325
36,75427
36,497141
36,371717
36,153342
37,38642
37,179568
37,279782
37,256130
37,202949
37,189078
37,113414
37,112827
37,323242
37,161112
38,24642
38,252482
38,434468
38,18404
38,221593
38,492772
38,160886
38,437491
38,431918
38,416149
39,363436
39,125945
39,164763
39,270699
39,371634
39,352537
39,323743
39,361560
39,123558
39,61706
40,321141
40,126143
40,299410
40,85336
40,461626
40,198985
40,254880
40,179271
40,376216
40,434731
41,15039
41,231053
41,53878
41,27073
41,116659
41,452310
41,445303
41,102838
41,306378
41,127351
42,498283
42,160681
42,199843
42,321384
42,132139
42,453293
42,317867
42,381527
42,370614
42,280565
43,367586
43,171753
43,165246
43,6314
43,255168
43,52999
43,96462
43,456235
43,109819
43,83165
44,470570
44,121606
44,407868
44,491003
44,303736
44,378560
44,177915
44,160298
44,459825
44,491788
45,327960
45,416506
45,464718
45,453947
45,159002
45,100912
45,39299
45,14995
45,36509
45,348523
46,362561
46,332326
46,245306
46,461424
46,277378
46,371458
46,381550
46,321666
46,242772
46,160205
47,343370
47,432706
47,73604
47,405580
47,475836
47,407006
47,463751
47,90812
47,302305
47,162785
48,383295
48,71786
48,333055
48,72367
48,236729
48,377852
48,62861
48,144509
48,491144
48,295651
49,39108
49,164484
49,106731
49,185747
49,362507
49,347512
49,405210
49,461841
49,439115
49,67924
50,338102
50,248974
50,322985
50,491772
50,431977
50,316741
50,389755
50,69640
50,306357
50,288179
51,240864
51,262997
51,152290
